Hero,Official Title,Tier,Faction,Role,Skill Slot Label,Skill Description
Sophia,Spirit of Ripples,S+,Human,DPS,Skill 2 (Passive/Battle Skill),"Moonlit Ripples — +40% ATK.
  ★1: +4% additional
  ★2: +4% additional
  ★3: +4% additional
  ★4: +4% additional
  ★5: +4% additional
  (★5: +20% total from stars on top of base effect)"
Sophia,Spirit of Ripples,S+,Human,DPS,Skill 3 (Active Skill),"Dragon's Waltz — Deals 447% Magic back-row; 10% Stun.
  ★1: +30%
  ★2: 2 targets
  ★3: +70%
  ★4: 3 targets
  ★5: +120%"
Sophia,Spirit of Ripples,S+,Human,DPS,Skill 4 (Bond / Awaken Passive),"Nocturnal Brilliance — HP/ATK/DEF +20%, Speed +40.
  Passive, always active when unlocked — fixed bonus, no star scaling."
Sparta,God Slayer,S+,Nightfall,Tank,Skill 1 (Basic Attack),"Demonic Sacrifice — Deals 504% Physical DMG to a single enemy.
  ★1: +30% physical DMG
  ★2: +70% physical DMG
  ★3: +120% physical DMG
  ★4: +185% physical DMG
  ★5: +270% physical DMG
  (★5 adds up to +270% bonus physical DMG on top of base skill scaling)"
Sparta,God Slayer,S+,Nightfall,Tank,Skill 2 (Passive/Battle Skill),"Devil's Rage — −30% all damage taken.
  ★1: −3% DMG reduction
  ★2: −3% DMG reduction
  ★3: −3% DMG reduction
  ★4: −3% DMG reduction
  ★5: −3% DMG reduction
  (★5: −15% total from stars on top of base effect)"
Sparta,God Slayer,S+,Nightfall,Tank,Skill 3 (Active Skill),"Scatter the Weak — Taunt 2; −16.5% ATK 2 turns.
  ★1: −2%
  ★2: 3 targets
  ★3: −2%
  ★4: 4 targets
  ★5: −2%"
Sparta,God Slayer,S+,Nightfall,Tank,Skill 4 (Bond / Awaken Passive),"Demonic Edge — HP/ATK/DEF +20%, Speed +40.
  Passive, always active when unlocked — fixed bonus, no star scaling."
Valkyr,Valiant Warrior,S+,Human,Tank,Skill 1 (Basic Attack),"Battle Realm — Deals 516% Physical DMG to a single enemy.
  ★1: +30% physical DMG
  ★2: +70% physical DMG
  ★3: +120% physical DMG
  ★4: +185% physical DMG
  ★5: +270% physical DMG
  (★5 adds up to +270% bonus physical DMG on top of base skill scaling)"
Valkyr,Valiant Warrior,S+,Human,Tank,Skill 2 (Passive/Battle Skill),"Battle Mark — Front-row −13% all dmg and −13% magic dmg.
  ★1: +1.5% DMG reduction
  ★2: +1.5% DMG reduction
  ★3: +1.5% DMG reduction
  ★4: +1.5% DMG reduction
  ★5: +1.5% DMG reduction
  (★5: +7.5% total from stars on top of base effect)"
Valkyr,Valiant Warrior,S+,Human,Tank,Skill 3 (Active Skill),"Judgment — −19.9% Magic DMG all allies 1 turn; Human bonus.
  ★1-4: Human +4/8/12/16%
  ★5: 2 turns"
Valkyr,Valiant Warrior,S+,Human,Tank,Skill 4 (Bond / Awaken Passive),"Bloodthirst — HP/ATK/DEF +20%, Speed +40.
  Passive, always active when unlocked — fixed bonus, no star scaling."
Yord,Traveler of the Forest Sea,S+,Forest,Support,Skill 1 (Basic Attack),"Universal Chord — Deals 508% Magic DMG to a single enemy.
  ★1: +30% magic DMG
  ★2: +70% magic DMG
  ★3: +120% magic DMG
  ★4: +185% magic DMG
  ★5: +270% magic DMG
  (★5 adds up to +270% bonus magic DMG on top of base skill scaling)"
Yord,Traveler of the Forest Sea,S+,Forest,Support,Skill 2 (Passive/Battle Skill),"Lingering Echo — +45 Speed; −12% dmg to highest-ATK ally.
  ★1: +2 Speed / −1% per star
  ★2: +2 Speed / −1% per star
  ★3: +2 Speed / −1% per star
  ★4: +2 Speed / −1% per star
  ★5: +2 Speed / −1% per star"
Yord,Traveler of the Forest Sea,S+,Forest,Support,Skill 3 (Active Skill),"Travel Invitation — +16.5% ATK all allies 1 turn.
  ★1: +2% ATK
  ★2: +10% CRIT
  ★3: +2%
  ★4: 2 turns
  ★5: +2%"
Yord,Traveler of the Forest Sea,S+,Forest,Support,Skill 4 (Bond / Awaken Passive),"Safe Prelude — HP/ATK/DEF +20%, Speed +40.
  Passive, always active when unlocked — fixed bonus, no star scaling."
